schluessel;kurzform;anzeigeform;langform
23212001-GT;MDP-GT;Mediengestalter Digital und Print/Mediengestalteri;Mediengestalter Digital und Print/Mediengestalterin Digital und Print - Fachrichtung Gestaltung und Technik
43112002;KDMM;Kaufmann für Digitalisierungsmanagement/Kauffrau f;Kaufmann für Digitalisierungsmanagement/Kauffrau für Digitalisierungsmanagement
29222360;KDHLM;Konditor/in;Konditor/in
63302010;FGITH;Fachkraft im Gastgewerbe Industrie;Fachkraft im Gastgewerbe Industrie
62312310;FPLBHVB;Fachpraktiker/in für Fachverkauf im Lebensmittelha;Fachpraktiker/in für Fachverkauf im Lebensmittelhandwerk (§42r HwO) SP Bäckerei
93682010;HIIPK;Handzuginstrumentenmacher/in Industrie;Handzuginstrumentenmacher/in Industrie
63122010;SFIITH;Sport- und Fitnesskaufmann/-kauffrau;Sport- und Fitnesskaufmann/-kauffrau
31212311-VH;VTVHBA;Vermessungstechniker/in FR Vermessung Handwerk;Vermessungstechniker/in FR Vermessung Handwerk
99999082;FSMst-ZI;FS Mst Zimmerer/-in;FS Mst Zimmerer/-in
24413330-DS;KOMDSHMM;Konstruktionsmechaniker/in + duales Studium Handwe;Konstruktionsmechaniker/in + duales Studium Handwerk
22342006-HMI;HM-HMI;Holzmechaniker/Holzmechanikerin - Fachrichtung Her;Holzmechaniker/Holzmechanikerin - Fachrichtung Herstellen von Möbeln und Innenausbauteilen
25252039;ZTHMF;Zweiradmechatroniker/in (ohne FR-Angabe) Handwerk;Zweiradmechatroniker/in (ohne FR-Angabe) Handwerk
29222010;BÄILM;Bäcker/in Industrie;Bäcker/in Industrie
23322001-IA;FOG-IA;Fotograf/Fotografin - Schwerpunkt Industrie- und A;Fotograf/Fotografin - Schwerpunkt Industrie- und Architekturfotografie
41432001-AT;BSP-AT;Baustoffprüfer/Baustoffprüferin - Fachrichtung Asp;Baustoffprüfer/Baustoffprüferin - Fachrichtung Asphalttechnik
26212030;GIIME;Elektroniker/in für Gebäude- und Infrastruktursyst;Elektroniker/in für Gebäude- und Infrastruktursysteme
94612001-ML;BM-ML;Bühnenmaler und -plastiker/Bühnenmalerin und -plas;Bühnenmaler und -plastiker/Bühnenmalerin und -plastikerin - Fachrichtung Malerei
93522413;ESSISH;Edelsteinschleifer/in FR Handwerkdiamantschleifen ;Edelsteinschleifer/in FR Handwerkdiamantschleifen (Handwerk)
23212005-DM;MDP-DM;Mediengestalter Digital und Print/Mediengestalteri;Mediengestalter Digital und Print/Mediengestalterin Digital und Print - Fachrichtung Digitalmedien
11102670;TWLLF;Helfer/in in der Landwirtschaft / Landwirtschaftsh;Helfer/in in der Landwirtschaft / Landwirtschaftshelfer/in (§66 BBiG)
26263010-DI;EAMDSIME;Elektroanlagenmonteur/in + duales Studium Industri;Elektroanlagenmonteur/in + duales Studium Industrie
28232320;POHTL;Polster- und Dekorationsnäher/in Handwerk;Polster- und Dekorationsnäher/in Handwerk
71522001;PDK;Personaldienstleistungskaufmann/Personaldienstleis;Personaldienstleistungskaufmann/Personaldienstleistungskauffrau
26122010;EATIME;Elektroniker/in für Automatisierungstechnik Indust;Elektroniker/in für Automatisierungstechnik Industrie
99999090;HBF_CTA;Staatl. gepr. chemisch-tech. Assistent/in;Staatl. gepr. chemisch-tech. Assistent/in
93642321;KCCHPK;Klavier- und Cembalobauer/in FR Cembalobau Handwer;Klavier- und Cembalobauer/in FR Cembalobau Handwerk
23412091;DUDIPD;Drucker/in FR Digitaldruck Industrie (ausgelaufene;Drucker/in FR Digitaldruck Industrie (ausgelaufener Beruf)
51652012;SKTIVL;Schifffahrtskaufmann/-kauffrau FR Trampfahrt;Schifffahrtskaufmann/-kauffrau FR Trampfahrt
24122044;VHUIMM;Verfahrensmechaniker/in in der Hütten- und Halbzeu;Verfahrensmechaniker/in in der Hütten- und Halbzeugindustrie FR Nichteisenmetall-Umformung Industrie
24532310;UMHMM;Uhrmacher/in Handwerk;Uhrmacher/in Handwerk
83212006;PBW;Praktiker im betreuten Wohnen/Praktikerin im betre;Praktiker im betreuten Wohnen/Praktikerin im betreuten Wohnen
93332020;SHIPK;Spielzeughersteller/in;Spielzeughersteller/in
93432313;GBKHPK;Glasbläser/in FR Kunstaugen;Glasbläser/in FR Kunstaugen
99999085;HBF_EV;Staatl. gepr. Assistent/in Ernährung u. Versorgung;Staatl. gepr. Assistent/in Ernährung u. Versorgung
23212173-PM;MDGIPDPM;Mediengestalter/in Digital und Print FR Gestaltung;Mediengestalter/in Digital und Print FR Gestaltung und Technik SP Printmedien Industrie
28222050;BTITL;Bekleidungsteilenäher/in (§66 BBiG);Bekleidungsteilenäher/in (§66 BBiG)
99999052;FSWi-BWL-MV;FS Wi Fr BWL/Untern Sp Marketing und Vertrieb;FS Wi Fr BWL/Untern Sp Marketing und Vertrieb
24512003-FM;FWM-FM;Feinwerkmechaniker/Feinwerkmechanikerin - Schwerpu;Feinwerkmechaniker/Feinwerkmechanikerin - Schwerpunkt Feinmechanik
93432013;GBKIPK;Glasbläser/in FR Kunstaugen;Glasbläser/in FR Kunstaugen
83212970;HBHET;HauswirtschaftsTechnische/r Helfer/in (§66 BBiG) H;HauswirtschaftsTechnische/r Helfer/in (§66 BBiG) Handwerk
34312003-IS;FKRKI-IS;Fachkraft für Rohr-, Kanal- und Industrieservice -;Fachkraft für Rohr-, Kanal- und Industrieservice - Schwerpunkt Industrieservice
22352320;FWGHKH;Flechtwerkgestalter/in Handwerk;Flechtwerkgestalter/in Handwerk
29262001-DB;FKST-DB;Fachkraft für Süßwarentechnik - Fachrichtung Dauer;Fachkraft für Süßwarentechnik - Fachrichtung Dauerbackwaren
99999042;FSTe-MED;FS Te Fr Medien;FS Te Fr Medien
93542310;SLHPK;Schilder- und Lichtreklamehersteller/in;Schilder- und Lichtreklamehersteller/in
61212329;KGAMH;Kaufmann/Kauffrau für Groß- und Außenhandelsmanage;Kaufmann/Kauffrau für Groß- und Außenhandelsmanagement - ohne FR-Angabe Handwerk
28312001;FKLG;Fachkraft für Lederherstellung und Gerbereitechnik;Fachkraft für Lederherstellung und Gerbereitechnik/
21342331;GVKHRK;Glasveredler/in FR Kanten- und Flächenveredlung Ha;Glasveredler/in FR Kanten- und Flächenveredlung Handwerk
23422320-SH;BBEHPD;Buchbinder/in Einzel- und Sonderfertigung Handwerk;Buchbinder/in Einzel- und Sonderfertigung Handwerk
34342330;BABHGV;Behälter- und Apparatebauer/in;Behälter- und Apparatebauer/in
43112004-DS;INK-DS;Informatikkaufmann/-kauffrau (+ duales Studium);Informatikkaufmann/-kauffrau (+ duales Studium)
32132310;FSHHT;Feuerungs- und Schornsteinbauer/in Handwerk;Feuerungs- und Schornsteinbauer/in Handwerk
26232010;EEIME;Elektriker/in Energietechnik (§66 BBiG);Elektriker/in Energietechnik (§66 BBiG)
62102330-VK;FPHVB;Fachpraktiker/in im Verkauf (§42r HwO) Handwerk;Fachpraktiker/in im Verkauf (§42r HwO) Handwerk
93642001-CB;KCB-CB;Klavier- und Cembalobauer/Klavier- und Cembalobaue;Klavier- und Cembalobauer/Klavier- und Cembalobauerin - Fachrichtung Cembalobau
32162001;GB;Gerüstbauer/Gerüstbauerin;Gerüstbauer/Gerüstbauerin
92122003;KDM;Kaufmann für Dialogmarketing/Kauffrau für Dialogma;Kaufmann für Dialogmarketing/Kauffrau für Dialogmarketing
24412050;SFWIMM;Schlosser-Fachwerker/in (§66 BBiG) Industrie;Schlosser-Fachwerker/in (§66 BBiG) Industrie
99999031;FSTe-I-BI;FS Te Fr Informatik Sp Betriebsinformatik;FS Te Fr Informatik Sp Betriebsinformatik
28222080;MSITL;Modeschneider/in (ausgelaufener Beruf);Modeschneider/in (ausgelaufener Beruf)
54112002;FPGR;Fachpraktiker für Gebäudereinigung/Fachpraktikerin;Fachpraktiker für Gebäudereinigung/Fachpraktikerin für Gebäudereinigung
82342010;MABING;Maskenbildner/in;Maskenbildner/in
63112030;TPGITH;Tourismuskaufmann/-kauffrau (Privat- und Geschäfts;Tourismuskaufmann/-kauffrau (Privat- und Geschäftsreisen)
33312010;IMIAB;Industrie-Isolierer/in;Industrie-Isolierer/in
99999080;FSMst-TI;FS Mst Tischler/-in;FS Mst Tischler/-in
93332001;HSPM;Holzspielzeugmacher/Holzspielzeugmacherin;Holzspielzeugmacher/Holzspielzeugmacherin
82312903;FPFR;Fachpraktiker/in für Friseur (§66 BBiG/§42r HwO);Fachpraktiker/in für Friseur (§66 BBiG/§42r HwO)
24202330;MFWHMM;Metallfachwerker/in (§66 BBiG/§42r HwO) Handwerk;Metallfachwerker/in (§66 BBiG/§42r HwO) Handwerk
25122004-TT;MAF-TT;Maschinen- und Anlagenführer/Maschinen- und Anlage;Maschinen- und Anlagenführer/Maschinen- und Anlagenführerin - Schwerpunkt Textiltechnik
93612342;ZIHPKH;Zupfinstrumentenmacher/in FR Harfenbau;Zupfinstrumentenmacher/in FR Harfenbau
99999033;FSTe-MEC;FS Te Fr Mechatronik;FS Te Fr Mechatronik
28101310;HWHTL;Helfer/in im Weberhandwerk (§42r HwO);Helfer/in im Weberhandwerk (§42r HwO)
24412382;MBDSKIMM;Metallbauer/in FR Konstruktionstechnik Handwerk;Metallbauer/in FR Konstruktionstechnik Handwerk
99999007;FSAW-LBL2;FS Agrarwirtsch. Fr Landbau Sp Landwirt (2J);FS Agrarwirtsch. Fr Landbau Sp Landwirt (2J)
25212330;KRBHMF;Karosseriebearbeiter/in (§66 BBiG/§42r HwO);Karosseriebearbeiter/in (§66 BBiG/§42r HwO)
94512010;FVT;Fachkraft für Veranstaltungstechnik;Fachkraft für Veranstaltungstechnik
33212006;FPML;Fachpraktiker im Maler- und Lackiererhandwerk/Fach;Fachpraktiker im Maler- und Lackiererhandwerk/Fachpraktikerin im Maler- und Lackiererhandwerk
12122617;GASLGF;Gärtner/in FR Staudengärtnerei;Gärtner/in FR Staudengärtnerei
93422010;IKDIPK;Industriekeramiker/in Dekorationstechnik Industrie;Industriekeramiker/in Dekorationstechnik Industrie
24302001;OFB;Oberflächenbeschichter/Oberflächenbeschichterin;Oberflächenbeschichter/Oberflächenbeschichterin
71522010;PDKIUO;Personaldienstleistungskaufmann/-kauffrau;Personaldienstleistungskaufmann/-kauffrau
24412002;KM;Konstruktionsmechaniker/Konstruktionsmechanikerin;Konstruktionsmechaniker/Konstruktionsmechanikerin
32122330;MAHHT;Maurer/in Handwerk;Maurer/in Handwerk
71383001;KIM;KI-Manager/KI-Managerin;KI-Manager/KI-Managerin
82312002;FR;Friseur/Friseurin;Friseur/Friseurin
33342001-FG;GL-FG;Glaser/Glaserin - Fachrichtung Fenster- und Glasfa;Glaser/Glaserin - Fachrichtung Fenster- und Glasfassadenbau
32232010;GBIHT;Gleisbauer/in;Gleisbauer/in
26252050;FPIEI24;Fachpraktiker/in für Industrieelektrik (§66 BBiG) ;Fachpraktiker/in für Industrieelektrik (§66 BBiG) (24 Monate)
32233310-DS;GBDSHHT;Gleisbauer/in + duales Studium Handwerk;Gleisbauer/in + duales Studium Handwerk
22222001;LAL;Lacklaborant/Lacklaborantin;Lacklaborant/Lacklaborantin
41422041;WPMIMB;Werkstoffprüfer/in FR Metalltechnik (Industrie);Werkstoffprüfer/in FR Metalltechnik (Industrie)
61142039;AFIEH;Automatenfachmann/-fachfrau (ohne FR-Angabe);Automatenfachmann/-fachfrau (ohne FR-Angabe)
51622010;SLIVL;Kaufmann/Kauffrau für Spedition und Logistikdienst;Kaufmann/Kauffrau für Spedition und Logistikdienstleistung Industrie
99999089;HBF_BTA;Staatl. gepr. biologisch-tech. Assistent/in;Staatl. gepr. biologisch-tech. Assistent/in
73312011;FMAIRV;Fachangestellte/r für Medien- und Informationsdien;Fachangestellte/r für Medien- und Informationsdienste FR Archiv Industrie
11102006-RH;TWH-RH;Tierwirtschaftshelfer/Tierwirtschaftshelferin - Fa;Tierwirtschaftshelfer/Tierwirtschaftshelferin - Fachrichtung Rinderhaltung
93522122;ESSESI;Edelsteinschleifer/in FR Edelsteinschleifen (Indus;Edelsteinschleifer/in FR Edelsteinschleifen (Industrie)
61282002;KEC;Kaufmann im E-Commerce/Kauffrau im E-Commerce;Kaufmann im E-Commerce/Kauffrau im E-Commerce
52422030;HSIFT;Hafenschiffer/in;Hafenschiffer/in
83212940-HW;FPHWHET;Fachpraktiker/in Hauswirtschaft (§66 BBiG) Handwer;Fachpraktiker/in Hauswirtschaft (§66 BBiG) Handwerk
25212072;KUFKIMF;Karosserie- und Fahrzeugbaumechaniker/in FR Kaross;Karosserie- und Fahrzeugbaumechaniker/in FR Karosserie- und Fahrzeugbautechnik Industrie
25252031;ZTFHMF;Zweiradmechatroniker/in FR Fahrradtechnik Handwerk;Zweiradmechatroniker/in FR Fahrradtechnik Handwerk
34212360-GW;FPGWHGV;Fachpraktiker/in für Gas- und Wasserinstallation (;Fachpraktiker/in für Gas- und Wasserinstallation (§42r HwO)
21312002;VGT;Verfahrensmechaniker Glastechnik/Verfahrensmechani;Verfahrensmechaniker Glastechnik/Verfahrensmechanikerin Glastechnik
61282310;KECH;Kaufmann/Kauffrau im E-Commerce (Handwerk);Kaufmann/Kauffrau im E-Commerce (Handwerk)
26262010;EAMIME;Elektroanlagenmonteur/in;Elektroanlagenmonteur/in
22212310;FLAHKH;Fahrzeuglackierer/in Industrie;Fahrzeuglackierer/in Industrie
54132330;TRWHRB;Textilreinigerwerker/in (§66 BBiG/§42r HwO);Textilreinigerwerker/in (§66 BBiG/§42r HwO)
99999029;FSTe-HT-BO;FS Te Fr Holztechnik Sp Betriebsorganisation;FS Te Fr Holztechnik Sp Betriebsorganisation
22102010-HZ-DS;VKK-HZ-DS;Verfahrensmechaniker für Kunststoff- und Kautschuk;Verfahrensmechaniker für Kunststoff- und Kautschuktechnik/Verfahrensmechanikerin für Kunststoff- und Kautschuktechnik - Fachrichtung Halbzeuge (+ duales Studium)
28122003;PPT;Produktprüfer-Textil/Produktprüferin-Textil;Produktprüfer-Textil/Produktprüferin-Textil
99999051;FSWi-BWL-KBM;FS Wi Fr BWL/Untern Sp Kommunik. + Büromanagement;FS Wi Fr BWL/Untern Sp Kommunik. + Büromanagement
73202001-BV;VFA-BV;Verwaltungsfachangestellter/Verwaltungsfachangeste;Verwaltungsfachangestellter/Verwaltungsfachangestellte - Fachrichtung Bundesverwaltung
11402610-HK;FWHLLF;Fischwirt/in FR Kleine Hochsee- und Küstenfischere;Fischwirt/in FR Kleine Hochsee- und Küstenfischerei (Beruf ist ausgelaufen)
41422043;WPWIMB;Werkstoffprüfer/in FR Wärmebehandlungstechnik (Ind;Werkstoffprüfer/in FR Wärmebehandlungstechnik (Industrie)
23422002;FMBB;Fertigmacher im Buchbinderhandwerk/Fertigmacherin ;Fertigmacher im Buchbinderhandwerk/Fertigmacherin im Buchbinderhandwerk
81102820;MFAFMG;Medizinische(r) Fachangestellte/r;Medizinische(r) Fachangestellte/r
34312320-RK;FRRHGV;Fachkraft für Rohr-, Kanal- und Industrieservice S;Fachkraft für Rohr-, Kanal- und Industrieservice SP Rohr- und Kanalservice Handwerk
21212005-SK;AM-SK;Aufbereitungsmechaniker/Aufbereitungsmechanikerin ;Aufbereitungsmechaniker/Aufbereitungsmechanikerin - Fachrichtung Sand und Kies
32102020-FS;HFIHTFSBB;Hochbaufacharbeiter/in SP Feuerungs- und Schornste;Hochbaufacharbeiter/in SP Feuerungs- und Schornsteinbauarbeiten Industrie
73112002;PFA;Patentanwaltsfachangestellter/Patentanwaltsfachang;Patentanwaltsfachangestellter/Patentanwaltsfachangestellte
28132001;SEL;Seiler/Seilerin;Seiler/Seilerin
99999043;FSTe-MEDT;FS Te Fr Medizintechnik;FS Te Fr Medizintechnik
24112029;VMBIMM;Verfahrensmechaniker/in in der Hütten- und Halbzeu;Verfahrensmechaniker/in in der Hütten- und Halbzeugindustrie (ohne FR-Angabe) Industrie
26222003-DS;ELMA-DS;Elektroniker/Elektronikerin für Maschinen- und Ant;Elektroniker/Elektronikerin für Maschinen- und Antriebstechnik (+ duales Studium)
54112001;FHRT;Fachhelfer für Reinigungstechnik/Fachhelferin für ;Fachhelfer für Reinigungstechnik/Fachhelferin für Reinigungstechnik
29222420;FPBÄHLM;Fachpraktiker/in Bäcker (§42r HwO);Fachpraktiker/in Bäcker (§42r HwO)
25222340;LBMHMF;Land- und Baumaschinenmechatroniker/in Handwerk;Land- und Baumaschinenmechatroniker/in Handwerk
33122010;ELIAB;Estrichleger/in Industrie;Estrichleger/in Industrie
11522002-ZO;TP-ZO;Tierpfleger/Tierpflegerin - Fachrichtung Zoo;Tierpfleger/Tierpflegerin - Fachrichtung Zoo
33212009-BK;ML-BK;Maler und Lackierer/Malerin und Lackiererin - Fach;Maler und Lackierer/Malerin und Lackiererin - Fachrichtung Bauten- und Korrosionsschutz
92122004;SFD;Servicefachkraft für Dialogmarketing;Servicefachkraft für Dialogmarketing
34312730;FWVÖGV;Fachkraft für Wasserversorgungstechnik Öffentliche;Fachkraft für Wasserversorgungstechnik Öffentlicher Dienst
93532310-RT;GRRHPK;Graveur/in SP Reliefgraviertechnik Handwerk;Graveur/in SP Reliefgraviertechnik Handwerk
34312030;FWVIGV;Fachkraft für Wasserversorgungstechnik Industrie;Fachkraft für Wasserversorgungstechnik Industrie
29252610;MTNILM;Milchtechnologe/-technologin;Milchtechnologe/-technologin
81313918;FKPIC;Fachkrankenpfleger/in - Intermediate Care;Fachkrankenpfleger/in - Intermediate Care
26212005;IPE;Installationspraktiker/Installationspraktikerin El;Installationspraktiker/Installationspraktikerin Elektrotechnik
63302001;FKGG;Fachkraft im Gastgewerbe;Fachkraft im Gastgewerbe
62302340;VNAHVB;Verkaufskraft im Nahrungsmittelhandwerk (§42r HwO);Verkaufskraft im Nahrungsmittelhandwerk (§42r HwO)
41322007-TT;TL-TT;Textillaborant/Textillaborantin - Schwerpunkt Text;Textillaborant/Textillaborantin - Schwerpunkt Textittechnik
26312262;IEGIME;Industrieelektriker/in FR Geräte und Systeme;Industrieelektriker/in FR Geräte und Systeme
23212179;MDPIPD;Mediengestalter/in Digital und Print (ohne FR-Anga;Mediengestalter/in Digital und Print (ohne FR-Angabe) Industrie
27212072;TSSIFP;Technische/r Systemplaner/in FR Stahl- und Metallb;Technische/r Systemplaner/in FR Stahl- und Metallbautechnik
43102339;FIOFRH;Fachinformatiker/in (ohne FR-Angabe) Handwerk;Fachinformatiker/in (ohne FR-Angabe) Handwerk
31222010;GEOIBA;Geomatiker/in;Geomatiker/in
62272010;AKIVB;Automobilkaufmann/-kauffrau Industrie;Automobilkaufmann/-kauffrau Industrie
23422430-BB;BBFHPD;Fachpraktiker/in für Buchbinderei (§66 BBiG/§42r H;Fachpraktiker/in für Buchbinderei (§66 BBiG/§42r HwO)
71402710;FBÖUO;Fachangestellte/r für Bürokommunikation Öffentlich;Fachangestellte/r für Bürokommunikation Öffentlicher Dienst
61213312-DS;KGGDSHEH;Kaufmann/Kauffrau im Groß- und Außenhandel + duale;Kaufmann/Kauffrau im Groß- und Außenhandel + duales Studium FR Großhandel Handwerk
33212320;BOHAB;Bauten- und Objektbeschichter/in;Bauten- und Objektbeschichter/in
61282010;KECIEH;Kaufmann/frau im E-Commerce (Industrie);Kaufmann/frau im E-Commerce (Industrie)
24122004;VHUIMM;Verfahrensmechaniker/in in der Hütten- und Halbzeu;Verfahrensmechaniker/in in der Hütten- und Halbzeugindustrie FR Nichteisenmetall-Umformung Industrie
31212722;VTBÖBA;Vermessungstechniker/in FR Bergvermessung Öffentli;Vermessungstechniker/in FR Bergvermessung Öffentlicher Dienst
26112004-DS;MKT-DS;Mechatroniker für Kältetechnik/Mechatronikerin für;Mechatroniker für Kältetechnik/Mechatronikerin für Kältetechnik (+ duales Studium)
24112001-ESM;VHH-ESM;Verfahrensmechaniker in der Hütten- und Halbzeugin;Verfahrensmechaniker in der Hütten- und Halbzeugindustrie/Verfahrensmechanikerin in der Hütten- und Halbzeugindustrie - Fachrichtung Eisen- und Stahl-Metallurgie
41313310-DS;CKDSHMB;Chemikant/in + duales Studium Handwerk;Chemikant/in + duales Studium Handwerk
22102346-FV;VKFHKH;Verfahrensmechaniker/in für Kunststoff- und Kautsc;Verfahrensmechaniker/in für Kunststoff- und Kautschuktechnik FR Faserverbundtechnologie Handwerk
26212380-EG;FEEGHME;Fachpraktiker/in für Elektronik FR Energie- und Ge;Fachpraktiker/in für Elektronik FR Energie- und Gebäudetechnik (§42r HwO)
26312004;FPITSE;Fachpraktiker für IT-Systemelektronik/Fachpraktike;Fachpraktiker für IT-Systemelektronik/Fachpraktikerin für IT-Systemelektronik
72112001;BK;Bankkaufmann/Bankkauffrau;Bankkaufmann/Bankkauffrau
32132001;FSB;Feuerungs- und Schornsteinbauer/Feuerungs- und Sch;Feuerungs- und Schornsteinbauer/Feuerungs- und Schornsteinbauerin
73112003;RNFA;Rechtsanwalts- und Notarfachangestellter/Rechtsanw;Rechtsanwalts- und Notarfachangestellter/Rechtsanwalts- und Notarfachangestellte
22102343;VKMHKH;Verfahrensmechaniker/in für Kunststoff- und Kautsc;Verfahrensmechaniker/in für Kunststoff- und Kautschuktechnik FR Mehrschichtkautschukteile Handwerk
32102330-FS;HBFHHTFS;Hochbaufacharbeiter/in SP Feuerungs- und Schornste;Hochbaufacharbeiter/in SP Feuerungs- und Schornsteinbauarbeiten Handwerk
61142001-AD;AF-AD;Automatenfachmann/Automatenfachfrau - Fachrichtung;Automatenfachmann/Automatenfachfrau - Fachrichtung Automatendienstleistung
43103029-DS;FIDSIIK;Fachinformatiker/in + duales Studium Industrie;Fachinformatiker/in + duales Studium Industrie
99999041;FSTe-MT-VT;FS Te Fr Maschinentechnik Sp Verfahrenstechnik;FS Te Fr Maschinentechnik Sp Verfahrenstechnik
93522008-JW;GS-JW;Goldschmied/Goldschmiedin - Fachrichtung Juwelen;Goldschmied/Goldschmiedin - Fachrichtung Juwelen
24232260;ZMFIMM;Fachpraktiker/in für Zerspanungstechnik (§66 BBiG);Fachpraktiker/in für Zerspanungstechnik (§66 BBiG)
24522082;PWMIZ;Präzisionswerkzeugmechaniker/in FR Zerspanwerkzeug;Präzisionswerkzeugmechaniker/in FR Zerspanwerkzeuge Industrie
25233329-DS;FMDSHMF;Fluggerätmechaniker/in + duales Studium (ohne FR-A;Fluggerätmechaniker/in + duales Studium (ohne FR-Angabe) Handwerk
